home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,outcome
A,B,C,D,E,F,G,H,I,J,0
A,B,C,D,E,F,G,H,I,J,0
A,B,C,D,E,F,G,H,I,J,0
A,B,C,D,E,F,G,H,I,J,0
A,B,C,D,E,F,G,H,I,J,0
A,B,C,D,E,F,G,H,I,J,0
A,B,C,D,E,F,G,H,I,J,0
A,B,C,D,E,F,G,H,I,J,0
A,B,C,D,E,F,G,H,I,J,0
A,B,C,D,E,F,G,H,I,J,0
A,B,C,D,E,F,G,H,I,J,0
A,B,C,D,E,F,G,H,I,J,1
A,B,C,D,E,F,G,H,I,J,0
A,B,C,D,E,F,G,H,I,J,0
A,B,C,D,E,F,G,H,I,J,0
A,B,C,D,E,F,G,H,I,J,0
A,B,C,D,E,F,G,H,I,J,1
A,B,C,D,E,F,G,H,I,J,1
A,B,C,D,E,F,G,H,I,J,1
A,B,C,D,E,F,G,H,I,J,0
